,0,1,2,3,4
719,582.0,271.32,123.05,35.82,14.21
417,542.1,58.94,22.0,5.08,1.87
680,534.0,60.62,18.95,4.74,1.48
285,397.0,296.8,183.6,59.38,26.43
687,128.0,63.0,35.3,13.18,6.37
225,125.3,84.84,46.95,14.9,7.17
97,122.6,92.47,66.45,24.9,11.47
151,117.8,37.52,21.8,6.88,2.95
693,112.9,58.17,37.8,13.0,5.61
628,106.1,68.32,44.65,15.52,7.53
307,104.2,47.04,29.8,9.86,4.53
163,103.7,43.47,22.5,8.06,3.16
547,98.6,55.02,31.5,11.04,4.9
166,97.3,76.02,49.1,16.06,7.01
299,97.1,57.26,34.55,11.08,5.27
84,96.9,82.53,57.5,21.54,10.35
356,95.2,89.46,71.25,28.82,13.83
460,94.0,67.2,50.2,19.68,9.11
35,93.4,60.69,30.0,10.02,4.54
34,87.7,39.27,20.05,7.46,3.2
238,85.5,77.98,54.45,19.9,9.09
623,83.9,40.11,45.05,12.96,5.12
23,83.3,60.69,27.15,6.84,3.21
230,83.1,81.27,60.25,23.7,10.89
682,82.0,63.42,45.3,19.26,8.83
121,79.9,73.22,40.7,14.7,6.24
585,78.1,49.7,34.3,13.26,5.52
511,76.1,47.95,30.5,11.08,5.02
20,75.8,43.89,20.6,6.38,2.49
552,74.5,31.29,20.85,6.26,3.08
41,72.6,46.55,27.75,10.3,4.73
759,72.4,33.39,24.05,7.96,4.01
73,72.1,31.64,17.15,6.26,2.66
655,68.6,52.99,35.1,14.04,6.19
271,68.2,19.04,9.05,2.86,1.07
89,67.8,59.5,41.5,16.32,7.95
335,67.5,56.84,42.9,17.52,8.57
327,66.0,25.97,12.4,4.04,1.8
454,65.9,47.32,31.35,12.06,5.57
440,65.7,37.52,21.7,8.78,3.5
394,64.1,45.43,29.25,12.22,5.45
183,62.9,68.11,47.35,16.3,7.42
616,62.3,56.07,40.05,15.44,7.01
478,62.2,63.98,47.8,23.74,11.49
304,61.2,50.4,36.9,14.04,6.74
113,60.7,73.64,29.75,8.38,3.18
345,60.3,31.57,18.7,7.24,3.2
18,59.9,20.44,12.45,4.04,1.75
82,59.5,23.38,11.2,4.08,1.65
365,59.2,26.53,16.95,5.92,2.37
182,57.7,57.82,38.3,13.1,6.32
111,56.7,65.73,39.9,15.36,6.44
107,54.6,51.17,43.0,17.94,8.61
675,54.3,18.27,10.95,3.5,1.61
317,52.6,22.19,14.2,4.42,2.2
159,50.8,42.28,37.6,14.48,7.39
94,50.6,14.91,9.65,2.48,1.22
479,49.4,32.76,22.75,9.86,4.72
